box_number,distance_maximum,distance_minimum,end_date,number_of_runners,start_date,tf_pool_size_gt,tipster_id,tipster_name,venue
N/A,N/A,N/A,N/A,N/A,2015-07-14,4500,N/A,N/A,N/A
tipster_name,number_of_events,num_of_wins,sum_winning_payout,avg_num_races_between_wins,avg_win_payout,expected_value
BOB LANE,9,3,674.3,3.0,224.766666667,50.9222222222
BRENDAN DELANEY,3,2,50.6,1.5,25.3,-7.13333333333
JAMES VAN DE MAAT,3,2,312.4,1.5,156.2,80.1333333333
JOHN MCDERMOTT,13,2,296.6,6.5,148.3,-1.18461538462
MATTHEW JACKSON,11,5,566.7,2.2,113.34,27.5181818182
PAUL HAMMON,5,0,0,0,0,0
RON HAWKSWELL,4,4,139.4,1.0,34.85,10.85
SCOTT GUTHRIE,1,0,0,0,0,0
STEVE HAWKINS,7,3,107.0,2.33333333333,35.6666666667,-8.71428571429
THE WATCHDOG,26,9,780.6,2.88888888889,86.7333333333,6.02307692308
TIM EDWARDS,2,2,144.2,1.0,72.1,48.1
TIM NEWBOLD,4,3,562.3,1.33333333333,187.433333333,116.575
